price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,house_age,has_been_renovated
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,59,1
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,48,0
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,51,0
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,38,1
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,76,1
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,38,0
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,25,0
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,29,0
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,69,1
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,66,1
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,34,0
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,59,1
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,49,0
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,58,0
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,17,0
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,27,1
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,31,1
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,91,0
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,60,1
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,9,0
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,23,0
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,55,1
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,27,0
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,66,0
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,94,0
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,35,1
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,63,1
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,47,0
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,10,1
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,69,1
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,0,0
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,35,1
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,19,0
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,70,0
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,22,0
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,57,0
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,59,1
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,36,1
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,40,0
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,64,1
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,24,1
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,65,0
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,46,1
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,37,0
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,18,0
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,13,0
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,13,0
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,14,0
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,35,1
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,85,0
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,46,1
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,38,0
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,60,1
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,46,1
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,8,0
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,6,0
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,5,0
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2,1
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,1,1
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,7,0
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,8,0
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2,1
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,70,0
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,28,0
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,41,0
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,10,1
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,26,0
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,24,1
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,34,0
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,114,1
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,27,1
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,86,1
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,14,0
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,32,1
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,18,0
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,54,1
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,11,0
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,41,1
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,16,1
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,72,0
410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,36,1
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,35,0
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,66,0
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,106,0
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,9,0
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,8,0
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,56,1
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,24,0
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,65,1
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,106,0
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,75,1
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,70,0
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,54,1
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,105,1
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,46,1
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,9,0
736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,14,0
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,39,0
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,53,1
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,16,1
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,72,1
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,8,0
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,51,1
1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,22,0
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,59,1
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,43,0
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,90,1
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,8,0
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,28,0
525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,54,0
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,112,0
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,52,0
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,60,1
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,70,0
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,38,0
600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,38,1
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,54,0
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,61,1
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,20,0
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,69,0
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,84,0
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,86,1
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,65,1
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,30,0
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,6,0
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,20,0
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,56,1
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,58,1
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,65,1
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,37,0
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,72,1
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,37,1
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,4,0
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,0,0
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,5,0
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,13,0
830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,7,0
890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,8,0
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,6,0
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,4,0
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,9,0
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,7,0
890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,8,0
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,0,0
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,1,1
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,43,0
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,102,1
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,67,1
609000.0,4.0,2.5,2150,37981,2.0,0,0,3,2150,0,29,0
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,39,0
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,98,1
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,90,1
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,72,1
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,76,0
279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,52,0
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,27,1
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,64,1
650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,74,1
1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,44,1
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,34,0
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,47,0
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,62,1
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,60,1
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,48,0
475000.0,6.0,3.0,3470,117612,1.5,0,0,3,3470,0,90,1
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,26,0
407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,56,1
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,16,1
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,51,0
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,23,0
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,11,0
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,53,1
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,59,1
520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,34,0
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,60,1
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,10,1
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,7,0
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,36,0
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,47,0
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,18,0
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,65,1
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,35,1
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,56,1
860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,14,0
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,52,1
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,74,1
575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,60,1
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,43,0
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,25,0
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,18,0
599000.0,4.0,2.25,2260,29930,2.0,0,0,4,1400,860,37,0
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,15,0
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,64,1
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,27,1
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,30,0
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,50,0
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,19,0
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,72,1
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,16,1
360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,49,0
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,52,0
483500.0,4.0,2.5,2740,45732,2.0,0,0,3,2740,0,19,0
655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,14,0
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,58,1
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,88,1
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,32,0
675000.0,2.0,1.0,930,36478,1.0,0,2,3,930,0,63,1
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,38,1
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,109,1
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,40,0
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,111,0
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,6,0
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,55,0
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,8,0
390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,8,0
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,0,0
580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,1,1
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,8,0
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,6,0
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,0,0
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,52,1
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,71,1
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,11,0
1150000.0,4.0,4.0,4460,103382,2.0,0,0,3,4460,0,13,0
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,20,0
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,34,0
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,21,0
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,62,1
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,40,0
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,68,1
630000.0,3.0,2.5,2680,327135,2.0,0,0,3,2680,0,19,0
599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,76,1
758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,58,0
248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,54,0
310000.0,3.0,1.75,2070,37904,1.0,0,0,4,1420,650,41,0
460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,29,0
675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,55,0
526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,114,1
560000.0,3.0,3.0,4120,60392,2.0,0,2,3,3180,940,20,0
415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,23,0
246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,70,0
314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,57,1
420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,110,0
535000.0,3.0,1.75,2720,149410,1.5,0,0,3,2720,0,26,1
350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,33,1
515000.0,3.0,1.75,1580,9147,1.0,0,1,4,1210,370,47,0
749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,65,0
230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,26,1
568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,85,0
250000.0,1.0,1.0,1100,4373,1.0,0,0,2,820,280,67,0
581000.0,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,53,1
651000.0,3.0,2.5,3240,108366,2.0,0,0,4,3240,0,23,0
600000.0,3.0,2.5,2460,108900,1.0,0,0,4,1860,600,37,0
500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,108,1
475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,93,1
352000.0,5.0,2.5,2420,8560,1.0,0,2,3,1620,800,36,0
420000.0,3.0,2.25,1770,8165,2.0,0,0,3,1770,0,37,1
428000.0,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,11,0
599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,94,0
492000.0,4.0,2.5,3305,16164,1.5,0,0,5,2245,1060,92,1
630000.0,2.0,2.25,2550,5663,1.0,0,0,3,1720,830,3,0
900000.0,5.0,3.75,4130,226076,2.0,0,0,3,3170,960,29,0
1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,1890,420,64,1
575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,59,1
705000.0,4.0,2.5,2650,4316,1.5,0,0,3,1520,1130,109,1
940000.0,4.0,2.25,1890,5940,1.0,0,1,3,1470,420,51,1
313000.0,3.0,1.75,2190,8000,1.0,0,0,4,2190,0,47,0
618080.0,3.0,2.5,2030,6500,2.0,0,0,3,2030,0,26,1
640000.0,3.0,3.0,2270,5175,2.0,0,0,3,2130,140,12,0
485000.0,3.0,2.0,1610,4160,1.0,0,0,4,1010,600,97,0
300000.0,2.0,1.0,760,3001,1.0,0,0,3,760,0,101,1
379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,36,0
339950.0,3.0,2.25,1630,12295,2.0,0,0,4,1630,0,29,0
500000.0,3.0,2.5,1940,37565,1.0,0,0,4,1940,0,27,0
239900.0,3.0,2.0,1410,7566,1.0,0,0,3,1410,0,29,0
314950.0,3.0,1.0,1040,16986,1.0,0,0,4,1040,0,46,0
361280.0,2.0,1.0,820,6400,1.0,0,0,4,820,0,70,0
100000.0,2.0,1.0,910,22000,1.0,0,0,3,910,0,58,1
540000.0,7.0,5.75,3700,7647,2.0,0,1,3,3700,0,66,1
480500.0,4.0,2.5,2180,11200,1.0,0,0,4,2180,0,46,0
280000.0,3.0,2.5,1600,4271,2.0,0,0,3,1600,0,14,0
440000.0,3.0,1.75,1500,6180,1.0,0,0,4,1060,440,67,1
530000.0,3.0,1.0,1340,4284,1.0,0,0,3,1080,260,104,1
560000.0,3.0,2.0,1860,13374,1.0,0,0,3,1860,0,29,0
